AOI,Erosion_m3,Deposition_m3,Net_m3
98,-65716.015625,59983.99658203125,-5732.01904296875
99,-166980.029296875,147783.740234375,-19196.2890625
100,-31587.98828125,29428.02734375,-2159.9609375
101,-80248.0712890625,66944.04296875,-13304.0283203125
102,-136060.0341796875,54327.9296875,-81732.1044921875
104,-51340.00244140625,18248.03466796875,-33091.9677734375
106,-28619.989013671875,33439.984130859375,4819.9951171875
107,-56659.9609375,48268.02978515625,-8391.93115234375
108,-20955.98907470703,14471.994018554688,-6483.995056152344
109,-120352.001953125,92363.99536132812,-27988.006591796875
110,-17075.78125,20443.84765625,3368.06640625
115,-329766.11328125,233637.59765625,-96128.515625
124,-90815.9912109375,95584.1064453125,4768.115234375
125,-188883.984375,142892.08984375,-45991.89453125
127,-59055.76171875,51764.0625,-7291.69921875
129,-24456.34765625,82543.84765625,58087.5
130,-636371.240234375,667553.7109375,31182.470703125
131,-110536.0107421875,167992.236328125,57456.2255859375
132,-10612.02392578125,32128.06396484375,21516.0400390625
133,-88225.830078125,52318.45703125,-35907.373046875
136,-100247.900390625,46464.013671875,-53783.88671875
138,-36164.0625,49424.0234375,13259.9609375
143,-717564.0625,302759.9853515625,-414804.0771484375
144,-157252.294921875,87460.205078125,-69792.08984375
146,-361560.15625,116568.1640625,-244991.9921875
147,-88015.91796875,68896.435546875,-19119.482421875
149,-91924.0234375,100868.017578125,8943.994140625
150,-1045396.484375,762812.20703125,-282584.27734375
151,-54904.1015625,73992.431640625,19088.330078125
152,-24720.01953125,25104.0771484375,384.0576171875
157,-183060.05859375,66196.0693359375,-116863.9892578125
159,-36847.998046875,20904.052734375,-15943.9453125
160,-87940.0390625,59988.3056640625,-27951.7333984375
161,-109111.81640625,92300.0,-16811.81640625
162,-104560.0830078125,58176.07421875,-46384.0087890625
163,-16579.98046875,9876.0498046875,-6703.9306640625
164,-315160.205078125,192900.06103515625,-122260.14404296875
165,-157684.02099609375,123847.9248046875,-33836.09619140625
166,-47748.028564453125,88812.04833984375,41064.019775390625
169,-57036.0107421875,23479.9560546875,-33556.0546875
170,-70467.9931640625,54035.90087890625,-16432.09228515625
174,-12707.99560546875,14928.0029296875,2220.00732421875
177,-50660.015869140625,51155.99365234375,495.977783203125
178,-24048.004150390625,29667.9931640625,5619.989013671875
179,-24876.007080078125,19599.993896484375,-5276.01318359375
180,-100440.02075195312,76308.02001953125,-24132.000732421875
181,-111656.0546875,57628.02734375,-54028.02734375
182,-58704.052734375,28723.956298828125,-29980.096435546875
185,-43100.1220703125,37599.8779296875,-5500.244140625
190,-393112.1337890625,132651.8310546875,-260460.302734375
193,-48688.134765625,25287.98828125,-23400.146484375
194,-162587.890625,61388.0615234375,-101199.8291015625
195,-159439.9658203125,114444.0185546875,-44995.947265625
198,-64968.017578125,72988.0859375,8020.068359375
